,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,1.12378107103506e-176,1.94013388522716,0.92,0.456,2.02494111189808e-172,0,ATP1B1
35,7.33015054868311e-78,1.63784737411242,0.593,0.216,1.32081982736721e-73,0,PRG3
12,1.15686516039069e-105,1.534843594886,0.648,0.198,2.08455533250799e-101,0,HAS2
10,9.14986372400736e-113,1.52432253160821,0.69,0.238,1.64871394442889e-108,0,NRXN1
17,1.29985540710151e-95,1.41124455027319,0.684,0.297,2.34220945805621e-91,0,KIF21A
46,6.83546565616415e-68,1.36856521665831,0.617,0.32,1.23168255658422e-63,0,CDH2
11,3.38259014571756e-107,1.33635468726869,0.928,0.643,6.09508918356847e-103,0,PLEK
60,1.5336954767526e-64,1.29803442531594,0.719,0.355,2.76356587956052e-60,0,MDK
76,3.15329743019959e-61,1.2248479126408,0.442,0.155,5.68192663947664e-57,0,NRN1
502,2.97636727566264e-32,1.19618712680385,0.434,0.227,5.36311619401651e-28,0,PRG2
28,1.1146500042591e-81,1.12819224414466,0.931,0.806,2.00848784267448e-77,0,UAP1
8,5.81496560053182e-117,1.10989762567115,0.977,0.939,1.04779865155983e-112,0,ZFAND6
43,4.5737773125439e-70,1.09570310922766,0.838,0.616,8.24148933947285e-66,0,PRNP
67,2.87215823274635e-62,1.09204497306277,0.458,0.167,5.17534191958565e-58,0,PAPPA2
14,1.08352838235761e-104,1.08390741618506,0.952,0.722,1.95240979217018e-100,0,KCTD12
19,2.4578501563127e-93,1.07397273233252,0.985,0.826,4.42880019665986e-89,0,S100A6
31,2.13436883118495e-79,1.07211462406532,0.781,0.554,3.84591919691216e-75,0,NOSTRIN
200,3.68984753841835e-43,1.06893165607789,0.565,0.303,6.64873627947603e-39,0,TTN
27,1.01152830278955e-82,1.06325510470943,0.852,0.641,1.82267284879648e-78,0,GNB4
34,4.85458618695079e-78,1.05890089491926,0.84,0.648,8.74747885026663e-74,0,CD200
4,6.5301519969716e-134,1.05428245227272,0.998,0.888,1.17666808833431e-129,0,TMEM176B
23,1.36486928716355e-86,1.05419827910634,0.848,0.499,2.45935796854e-82,0,SH2D4A
37,3.46563452575581e-76,1.05411815323388,0.597,0.239,6.2447268519594e-72,0,TBX3
22,9.11907252921686e-88,1.02587659280961,0.968,0.946,1.64316567903959e-83,0,REL
94,1.69191889574139e-56,1.01742668381327,0.616,0.422,3.04866865823641e-52,0,NRP2
80,3.97076887969845e-60,1.00124873691811,0.863,0.701,7.15492844432864e-56,0,SLC41A1
1629,1.79335268394316e-24,0.999957940919009,0.586,0.402,3.23144220119718e-20,0,GAL
147,2.2131335714973e-48,0.995895829343082,0.613,0.313,3.98784538248098e-44,0,FLRT3
63,3.55172626465647e-63,0.9947050664441,0.685,0.433,6.39985555628449e-59,0,CD81
143,1.16463729218813e-48,0.988463487958262,0.351,0.108,2.09855993679378e-44,0,SYT1
39,4.39142787312712e-74,0.988147852366933,0.859,0.665,7.91291388458776e-70,0,PLSCR1
90,1.33943552657609e-57,0.986285938899577,0.835,0.61,2.41352887533745e-53,0,CDC42EP3
210,2.81227829189313e-42,0.982862839125132,0.307,0.096,5.06744425416224e-38,0,NCAM1
223,1.9255760986475e-41,0.977582745030655,0.397,0.138,3.46969557215292e-37,0,TNFRSF11B
47,5.78432826724374e-67,0.953835961703783,0.664,0.372,1.04227811047465e-62,0,CD80
98,1.02383299035581e-55,0.946236643979711,0.872,0.754,1.84484466532214e-51,0,GRASP
180,2.06509128810431e-44,0.936770804848261,0.627,0.422,3.72108799203515e-40,0,HSPA2
523,6.66036353328178e-32,0.935599613392406,0.412,0.207,1.20013090506204e-27,0,ZDBF2
236,8.60922222305557e-41,0.916783954246478,0.397,0.161,1.55129575237238e-36,0,NRG1
75,2.75769551137838e-61,0.901105829703104,0.527,0.307,4.9690915419527e-57,0,ANK
142,1.03379204364937e-48,0.899817845699783,0.499,0.222,1.8627898834518e-44,0,TWIST1
320,3.40409746534684e-36,0.891724181350584,0.831,0.741,6.13384322280848e-32,0,KLF4
45,5.38143390863116e-68,0.882485305936115,0.706,0.459,9.69680575996249e-64,0,PBXIP1
53,5.87268379477175e-66,0.875831414887056,0.842,0.551,1.05819889297992e-61,0,CAPG
49,8.2659915833899e-67,0.86411732524543,0.964,0.926,1.48944902341103e-62,0,ARF4
92,6.82730027043396e-57,0.863828547484059,0.581,0.333,1.2302112357295e-52,0,CADM1
32,2.24086434778004e-79,0.860984827847613,0.671,0.453,4.03781346826486e-75,0,PACSIN2
83,1.28193254514959e-59,0.854758804401202,0.812,0.679,2.30991425310504e-55,0,MLF2
694,8.12119441867656e-30,0.850291969959327,0.328,0.137,1.46335802230133e-25,0,EGF
161,2.26546666452759e-46,0.849721820244481,0.495,0.267,4.08214438281226e-42,0,SCIN
74,1.4701865218661e-61,0.848780117484359,0.697,0.487,2.64912909375052e-57,0,SYK
85,2.588285765349e-59,0.831939350180661,0.923,0.762,4.66383212058236e-55,0,OGFRL1
102,7.3404268945028e-55,0.830474895746322,0.806,0.691,1.32267152212046e-50,0,ATP1A1
106,1.91685546013076e-54,0.823734790556634,0.52,0.26,3.45398185360961e-50,0,DUSP4
97,2.94174783152227e-56,0.820669012859972,0.662,0.44,5.30073541761997e-52,0,JARID2
128,2.38370669208302e-51,0.816489671296206,0.723,0.467,4.29520108846439e-47,0,CD37
131,2.77536247542295e-50,0.812802048023969,0.655,0.442,5.00092564446461e-46,0,PDLIM4
89,9.75757848732238e-58,0.811950066780381,0.493,0.211,1.75821806763062e-53,0,CNTN1
188,6.62631671063896e-44,0.809214095052303,0.629,0.372,1.19399600809003e-39,0,EFNB2
483,1.9873181822107e-32,0.807457853189193,0.553,0.428,3.58094863252546e-28,0,TSC22D1
245,1.04062581775162e-39,0.800569862081016,0.486,0.246,1.87510366100664e-35,0,CYBB
331,1.15585991993629e-35,0.799064985660223,0.43,0.266,2.0827439897332e-31,0,TESC
101,4.56509338067282e-55,0.797697676595767,0.846,0.671,8.22584176263436e-51,0,LYST
113,1.04014354151877e-53,0.781059993792079,0.598,0.351,1.87423464746268e-49,0,GRIA3
135,6.80254329662846e-50,0.778058408720423,0.412,0.151,1.22575027661948e-45,0,PDE1C
229,3.89399115944255e-41,0.777846254969516,0.548,0.41,7.01658267019953e-37,0,HSPA4L
182,2.60500315206867e-44,0.773626299427393,0.935,0.879,4.69395517971253e-40,0,DENND4A
65,1.47952545891933e-62,0.772286795383879,0.664,0.47,2.66595692442673e-58,0,DAAM1
2599,3.25949529859493e-21,0.768835351050394,0.563,0.361,5.87328457853821e-17,0,NRGN
82,8.15705505894821e-60,0.764441718644685,0.602,0.371,1.46981975107188e-55,0,SLC25A37
114,1.19795392597513e-53,0.762872840995131,0.765,0.627,2.15859317921459e-49,0,KIT
324,6.51814422197717e-36,0.753924640565153,0.667,0.465,1.17450440735807e-31,0,NID1
95,2.19824343544001e-56,0.752029803066765,0.869,0.664,3.96101484631936e-52,0,LY86
154,3.79911566011303e-47,0.741749031311978,0.662,0.467,6.84562650795767e-43,0,SEMA7A
81,5.14685992044965e-60,0.740143335436934,0.502,0.26,9.27412689065823e-56,0,DPP10
79,2.33408505993071e-60,0.735732718499104,0.771,0.644,4.20578786948915e-56,0,KIF1B
2143,1.24135148209735e-22,0.731863916814259,0.468,0.286,2.23679123559121e-18,0,BMP2
277,9.42633076147313e-38,0.724477016458185,0.849,0.768,1.69853053990984e-33,0,NFKB1
3542,1.3462618759576e-18,0.722640083425105,0.386,0.252,2.425829274288e-14,0,TMPRSS11D
93,7.49549533042705e-57,0.716974098979358,0.989,0.843,1.35061330358965e-52,0,TBC1D4
84,1.51112242256439e-59,0.713815525237725,0.479,0.268,2.72289149321877e-55,0,UBASH3B
