,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,1.12378107103506e-176,1.94013388522716,0.92,0.456,2.02494111189808e-172,0,ATP1B1
2,7.33015054868311e-78,1.63784737411242,0.593,0.216,1.32081982736721e-73,0,PRG3
3,1.15686516039069e-105,1.534843594886,0.648,0.198,2.08455533250799e-101,0,HAS2
4,9.14986372400736e-113,1.52432253160821,0.69,0.238,1.64871394442889e-108,0,NRXN1
5,1.29985540710151e-95,1.41124455027319,0.684,0.297,2.34220945805621e-91,0,KIF21A
6,6.83546565616415e-68,1.36856521665831,0.617,0.32,1.23168255658422e-63,0,CDH2
7,3.38259014571756e-107,1.33635468726869,0.928,0.643,6.09508918356847e-103,0,PLEK
8,1.5336954767526e-64,1.29803442531594,0.719,0.355,2.76356587956052e-60,0,MDK
9,3.15329743019959e-61,1.2248479126408,0.442,0.155,5.68192663947664e-57,0,NRN1
10,2.97636727566264e-32,1.19618712680385,0.434,0.227,5.36311619401651e-28,0,PRG2
11,1.1146500042591e-81,1.12819224414466,0.931,0.806,2.00848784267448e-77,0,UAP1
12,5.81496560053182e-117,1.10989762567115,0.977,0.939,1.04779865155983e-112,0,ZFAND6
13,4.5737773125439e-70,1.09570310922766,0.838,0.616,8.24148933947285e-66,0,PRNP
14,2.87215823274635e-62,1.09204497306277,0.458,0.167,5.17534191958565e-58,0,PAPPA2
15,1.08352838235761e-104,1.08390741618506,0.952,0.722,1.95240979217018e-100,0,KCTD12
16,2.4578501563127e-93,1.07397273233252,0.985,0.826,4.42880019665986e-89,0,S100A6
17,2.13436883118495e-79,1.07211462406532,0.781,0.554,3.84591919691216e-75,0,NOSTRIN
18,3.68984753841835e-43,1.06893165607789,0.565,0.303,6.64873627947603e-39,0,TTN
19,1.01152830278955e-82,1.06325510470943,0.852,0.641,1.82267284879648e-78,0,GNB4
20,4.85458618695079e-78,1.05890089491926,0.84,0.648,8.74747885026663e-74,0,CD200
21,6.5301519969716e-134,1.05428245227272,0.998,0.888,1.17666808833431e-129,0,TMEM176B
22,1.36486928716355e-86,1.05419827910634,0.848,0.499,2.45935796854e-82,0,SH2D4A
23,3.46563452575581e-76,1.05411815323388,0.597,0.239,6.2447268519594e-72,0,TBX3
24,9.11907252921686e-88,1.02587659280961,0.968,0.946,1.64316567903959e-83,0,REL
25,1.69191889574139e-56,1.01742668381327,0.616,0.422,3.04866865823641e-52,0,NRP2
26,3.97076887969845e-60,1.00124873691811,0.863,0.701,7.15492844432864e-56,0,SLC41A1
27,1.79335268394316e-24,0.999957940919009,0.586,0.402,3.23144220119718e-20,0,GAL
28,2.2131335714973e-48,0.995895829343082,0.613,0.313,3.98784538248098e-44,0,FLRT3
29,3.55172626465647e-63,0.9947050664441,0.685,0.433,6.39985555628449e-59,0,CD81
30,1.16463729218813e-48,0.988463487958262,0.351,0.108,2.09855993679378e-44,0,SYT1
31,5.57340871012819e-90,2.80153356484124,0.735,0.191,1.004272515478e-85,1,2610528A11RIK
32,1.0985812805953e-105,2.60528717153231,0.735,0.168,1.97953360950468e-101,1,ASPRV1
33,1.39325926824716e-157,2.08965491055188,0.946,0.403,2.51051387545456e-153,1,AC149090.1
34,5.06207197007322e-53,2.08070366058604,0.527,0.173,9.12134748287493e-49,1,CLU
35,4.61810601170352e-161,2.01990900467208,0.977,0.551,8.32136522248858e-157,1,BST2
36,1.1551633758088e-147,1.97576778755063,0.908,0.189,2.08148888686987e-143,1,MPEG1
37,3.76128228790122e-142,1.9149740884935,0.704,0.038,6.77745455456921e-138,1,EPCAM
38,2.25814829235179e-95,1.88129687353558,0.881,0.317,4.06895740798869e-91,1,TYROBP
39,3.1700857641927e-61,1.87244033153893,0.819,0.329,5.71217753849883e-57,1,APOL7C
40,5.9719272270466e-76,1.72906035403295,0.519,0.046,1.07608156704153e-71,1,FABP1
41,5.21584686273628e-40,1.70310674890118,0.608,0.243,9.3984344619645e-36,1,H2-M2
42,2.70261387951651e-161,1.67970275652876,0.996,0.909,4.86983994950081e-157,1,LAMP1
43,3.05211621576149e-95,1.67121097332988,0.804,0.288,5.49960820918063e-91,1,GYG
44,4.28709771528788e-84,1.63404758703568,0.669,0.135,7.72492137317723e-80,1,DNASE1L3
45,1.9988813401624e-08,1.6130163182659,0.365,0.243,0.000360178428683863,1,CCL22
46,1.00933359490481e-120,1.60937412840266,0.992,0.902,1.81871820465898e-116,1,BASP1
