,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
TMSB4X,4.93405651583447e-277,-3.13650057528547,0.985,1,8.48460358462895e-273,TMSB4X
UBA52,2.63229373431885e-270,-2.97132271400235,0.604,0.986,4.5264923055347e-266,UBA52
FAU,2.35457591673328e-253,-2.8752987511116,0.709,0.99,4.04892874641455e-249,FAU
DENND4A,1.26246255541294e-231,3.07774172356845,0.896,0.549,2.1709306102881e-227,DENND4A
RPL19,6.38583351480355e-229,-2.57092003036472,0.604,0.985,1.09810793120562e-224,RPL19
RPS24,1.81260438658087e-222,-2.85343543132388,0.545,0.983,3.11695450316447e-218,RPS24
RPS9,4.26116863745526e-221,-2.57622545574386,0.694,0.988,7.32750558896807e-217,RPS9
RPS19,3.05861531832239e-205,-2.70858317990167,0.597,0.988,5.25959490138718e-201,RPS19
TPT1,8.14777607083001e-202,-2.5576902407522,0.627,0.984,1.40109157313993e-197,TPT1
RPSA,2.73237088773389e-200,-2.77149464369694,0.709,0.993,4.69858497854721e-196,RPSA
RPS16,1.72528068637208e-189,-2.75984762526914,0.515,0.982,2.96679266828543e-185,RPS16
RPS5,1.60103940400894e-175,-2.86746049357623,0.463,0.978,2.75314735913378e-171,RPS5
RPL13,2.0302464106847e-175,-2.61643161295401,0.545,0.986,3.49121172781341e-171,RPL13
RPS11,1.58407227785531e-173,-2.8730907500919,0.485,0.981,2.72397068899999e-169,RPS11
CLCN3,3.61475270387359e-172,2.72098480319921,0.754,0.245,6.21592874958103e-168,CLCN3
MT-ATP8,1.90175359206369e-171,2.22593110675846,0.993,0.954,3.27025547691273e-167,MT-ATP8
RANBP2,2.43831459800672e-171,3.12736128949822,0.672,0.228,4.19292578273236e-167,RANBP2
MT-ND4L,6.35612344899907e-169,2.37767209320577,0.978,0.888,1.09299898828988e-164,MT-ND4L
RPL18A,1.10909114483846e-168,-2.57129249404819,0.507,0.982,1.90719313266422e-164,RPL18A
MT-CO3,7.89353699465203e-167,2.11725248515668,0.993,0.983,1.35737262160036e-162,MT-CO3
B2M,7.91217727867008e-161,-1.73044740312569,0.918,0.997,1.36057800484011e-156,B2M
RPL23,1.31212758798363e-158,-2.52640906837811,0.515,0.976,2.25633460029665e-154,RPL23
MT-CO1,5.16830688086162e-156,1.8644928468225,0.985,0.994,8.88742051232965e-152,MT-CO1
RPS10,1.20069303146719e-155,-2.62638387044147,0.433,0.98,2.06471173691098e-151,RPS10
MT-CYTB,7.84085290845591e-154,2.2543398588368,0.993,0.939,1.34831306613808e-149,MT-CYTB
RPS15A,2.17074614445735e-153,-2.60870351948133,0.448,0.974,3.73281507000885e-149,RPS15A
EEF1A1,4.50483326364113e-152,-1.7501457756276,0.851,0.993,7.74651128015729e-148,EEF1A1
ITGA4,3.65159244693715e-151,2.50970955141253,0.873,0.661,6.27927837175313e-147,ITGA4
RPS14,6.03692357546875e-149,-2.6626869214302,0.396,0.973,1.03810937803761e-144,RPS14
MT-CO2,1.70176688804032e-148,1.83701460042358,0.993,0.987,2.92635834067414e-144,MT-CO2
RPL9-PS6,4.55604786311128e-146,-2.74941155991999,0.343,0.972,7.83457990540616e-142,RPL9-PS6
RPL34,7.19223858873883e-145,-2.76456063032588,0.351,0.973,1.23677734771953e-140,RPL34
ADAM23,8.33691909047255e-144,2.38891859142093,0.858,0.555,1.43361660679766e-139,ADAM23
MT-ND2,3.86992081301289e-142,2.24235237841019,0.97,0.737,6.65471583005697e-138,MT-ND2
RPS20,1.81375161281676e-141,-2.48748353109749,0.552,0.979,3.11892727339971e-137,RPS20
RPS7,3.71741951545733e-141,-2.509520629985,0.463,0.976,6.39247459878043e-137,RPS7
RPLP0,1.57634096253264e-140,-2.5096785244829,0.56,0.98,2.71067591917113e-136,RPLP0
RPL11,5.86334316095044e-140,-2.38371762692417,0.5,0.978,1.00826048995704e-135,RPL11
RPL18,8.46413054206053e-140,-2.37986809774467,0.485,0.977,1.45549188801273e-135,RPL18
RPS27A,1.04834234623745e-139,-2.66314764745806,0.373,0.972,1.80272949858993e-135,RPS27A
RPL32,2.05939619588257e-139,-2.57425864119292,0.425,0.975,3.54133769843967e-135,RPL32
GM10076,7.45467643728515e-138,-2.56238115336821,0.381,0.972,1.28190616015555e-133,GM10076
MPEG1,1.28673979031762e-134,3.1163572627002,0.59,0.204,2.21267774343018e-130,MPEG1
MT-ND1,1.45656277047283e-133,2.20793917293244,0.978,0.828,2.50470534010507e-129,MT-ND1
MYO1E,2.38291822675454e-133,2.8330568431019,0.575,0.088,4.0976661827271e-129,MYO1E
UBB,1.40735332611831e-132,-2.35673486640183,0.649,0.988,2.42008477959305e-128,UBB
RPL30,1.0296929069957e-130,-2.69810210651569,0.358,0.972,1.77065992286981e-126,RPL30
RPS12,1.29750641015717e-129,-2.64813093260237,0.336,0.97,2.23119202290626e-125,RPS12
NUP98,1.37070226273616e-129,2.2260274573008,0.672,0.35,2.3570596110011e-125,NUP98
MT-ATP6,6.4039481775909e-129,1.87815130691175,0.948,0.875,1.10122292861853e-124,MT-ATP6
RPL26,8.26462928422361e-127,-2.45370372775493,0.388,0.969,1.42118565171509e-122,RPL26
RPL27,3.47108669031887e-126,-2.66933573282876,0.254,0.962,5.96888067267233e-122,RPL27
MT-ND4,1.93800598114983e-125,1.95426658150658,0.94,0.77,3.33259508518526e-121,MT-ND4
IQGAP1,3.2496124566948e-125,1.98234713427249,0.866,0.703,5.58803358053237e-121,IQGAP1
RPLP1,6.71802198191832e-125,-2.53293945152415,0.455,0.972,1.15523106001067e-120,RPLP1
RPS4X,1.70085446504435e-123,-2.28676358103238,0.515,0.977,2.92478933809027e-119,RPS4X
RPL10-PS3,3.12792971979443e-123,-2.57147557107839,0.403,0.967,5.37878794615851e-119,RPL10-PS3
RPL39,1.15651449464746e-122,-2.62330955497857,0.336,0.964,1.98874232499576e-118,RPL39
RPS23,6.21698964796165e-121,-2.32348175224343,0.448,0.97,1.06907353986349e-116,RPS23
MYADM,2.86773628710099e-119,2.20937047787164,0.612,0.276,4.93135931929886e-115,MYADM
RPS3,4.37893773820416e-118,-2.29013351745202,0.403,0.969,7.53002133461587e-114,RPS3
RPS3A1,8.9289185715435e-118,-2.21348443510478,0.515,0.977,1.53541683756262e-113,RPS3A1
EIF1,2.88582223046137e-115,-1.94909329453697,0.575,0.98,4.96245990750137e-111,EIF1
ACTB,4.5406135982057e-115,-1.82455169951384,1,1,7.80803914347452e-111,ACTB
RPL27A,1.36494969369926e-114,-2.35200836066024,0.373,0.967,2.34716749328525e-110,RPL27A
RPLP2,1.96168263336435e-114,-2.27553006517108,0.485,0.974,3.37330945633334e-110,RPLP2
RPS27,3.85246950314329e-114,-2.45499087542025,0.403,0.971,6.62470655760519e-110,RPS27
PFDN5,7.86172515951388e-114,-2.65326935546104,0.194,0.944,1.35190225843001e-109,PFDN5
RPL13A,1.72064371702105e-113,-2.3852919283546,0.321,0.963,2.9588189357894e-109,RPL13A
RPL24,1.93650413966829e-113,-2.18236279154958,0.44,0.97,3.33001251857359e-109,RPL24
MT-ND5,6.30672802020372e-113,1.88420728383657,0.896,0.714,1.08450495035423e-108,MT-ND5
RPS26,4.5221989302906e-112,-2.33082708114833,0.478,0.971,7.77637328052772e-108,RPS26
RPL7,3.57700125219576e-110,-2.36523008074333,0.246,0.953,6.15101135327583e-106,RPL7
SLC38A2,3.31058573058406e-108,2.05458795094144,0.769,0.557,5.69288322231234e-104,SLC38A2
EPRS,4.78108475268546e-108,2.79417908404041,0.515,0.249,8.22155334071793e-104,EPRS
RPL37,1.39804559353796e-105,-2.4098865013866,0.299,0.957,2.40407920264788e-101,RPL37
DOCK10,3.86999627267724e-105,1.84280326407623,0.843,0.708,6.65484559049577e-101,DOCK10
AHCYL2,1.46978264424057e-104,2.46150131581784,0.433,0.241,2.52743823503609e-100,AHCYL2
NRROS,6.22536085620154e-104,2.32114860736885,0.612,0.24,1.07051305283242e-99,NRROS
REL,1.16007272083244e-103,2.1664355700811,0.94,0.838,1.99486105074347e-99,REL
CDCP1,2.20328517451401e-102,2.28289909645841,0.448,0.093,3.78876918609429e-98,CDCP1
CD80,2.92216947008666e-102,2.42420896045166,0.5,0.173,5.02496262076102e-98,CD80
RPS29,6.17417223723788e-102,-2.30959491122415,0.216,0.941,1.06171065791543e-97,RPS29
RPL29,1.15919107019713e-101,-2.11430605677885,0.44,0.962,1.99334496431099e-97,RPL29
AFF4,1.62225548145836e-101,2.07451748401375,0.59,0.272,2.7896305259158e-97,AFF4
FTL1,6.79195654461597e-100,-2.16192161595075,0.769,0.985,1.16794484741216e-95,FTL1
AHCTF1,1.82154290435162e-99,2.06918421256985,0.545,0.249,3.13232517832305e-95,AHCTF1
RPL36,1.83243538025773e-99,-2.28288435196106,0.261,0.947,3.15105587989119e-95,RPL36
RPL35,3.73085387751776e-99,-2.23997718764195,0.403,0.955,6.41557632777954e-95,RPL35
RPS18,5.64153059585978e-99,-2.31947480827536,0.328,0.952,9.70117601264048e-95,RPS18
BTF3,7.29836040635073e-98,-2.29715506132246,0.216,0.933,1.25502605547607e-93,BTF3
H3F3A,9.90573030345739e-98,-2.28205883175809,0.41,0.961,1.70338938298253e-93,H3F3A
RPL37A,1.26468663405847e-97,-2.12699504725721,0.425,0.965,2.17475513592694e-93,RPL37A
LY75,1.25396220074698e-95,2.11323630914135,0.515,0.531,2.15631340040451e-91,LY75
