,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
11,9.59055227761461e-54,1.62455841489059,0.767,0.379,1.64919136965861e-49,0,GAL
1,1.27436398971561e-91,1.55087007173169,0.923,0.514,2.19139631671497e-87,0,ATP1B1
3,3.44657661081607e-71,1.30542056672245,0.835,0.372,5.92673313995931e-67,0,CFP
15,9.37991918637886e-50,1.21390500488991,0.661,0.269,1.61297090328971e-45,0,GJB2
67,5.50349626294129e-35,1.07768102438152,0.602,0.26,9.46381217375385e-31,0,MDK
58,1.22305476324928e-36,1.04611393492094,0.507,0.181,2.10316497088347e-32,0,NRGN
19,1.59570520834902e-48,1.03825330749428,0.876,0.722,2.74397467627697e-44,0,MLF2
48,3.60609720447305e-38,1.01256170956419,0.552,0.235,6.20104475281185e-34,0,ANK
52,2.34656826569778e-37,1.0119659326546,0.692,0.377,4.03515878969389e-33,0,CD37
10,7.88015300777785e-54,0.976661192529346,0.894,0.563,1.35507111121748e-49,0,CAPG
9,5.92147188794919e-59,0.937410420187189,0.982,0.912,1.01825630585174e-54,0,ZFAND6
33,9.08274082653687e-44,0.933991243838303,0.706,0.445,1.56186811253128e-39,0,AKR1B3
61,9.32862379334406e-36,0.924821796423935,0.697,0.362,1.60415014750344e-31,0,KIF21A
31,3.14349682528592e-44,0.870736494303637,0.855,0.525,5.40555714076166e-40,0,SH2D4A
30,2.51992797742531e-44,0.866455684327454,0.971,0.764,4.33326814998056e-40,0,S100A6
100,1.73691774436438e-29,0.85294624921465,0.443,0.158,2.98680375320899e-25,0,TMEM45B
51,1.68290801462038e-37,0.833263412903858,0.814,0.584,2.89392862194121e-33,0,TXNRD1
53,3.045674130616e-37,0.831928205599541,0.414,0.114,5.23734123500728e-33,0,SUSD2
62,1.29943448235532e-35,0.827131448524359,0.697,0.337,2.2345075358582e-31,0,CLIC3
7,9.73526571151171e-64,0.817445757059648,0.998,0.996,1.67407629175155e-59,0,TMSB10
50,1.4083002080219e-37,0.816534307200042,0.869,0.633,2.42171303771446e-33,0,RAB29
203,8.13560417834603e-20,0.815752255401681,0.441,0.232,1.39899849450838e-15,0,TSC22D1
135,4.27773771499535e-25,0.815444441896797,0.462,0.241,7.355997774706e-21,0,HSPA2
99,1.54979599028944e-29,0.814126144087389,0.557,0.316,2.66502918490172e-25,0,ACAA2
90,1.00577905152735e-30,0.808830890682908,0.584,0.285,1.72953765700643e-26,0,CADM1
40,3.0440545942301e-40,0.807076161067627,0.867,0.69,5.23455628023809e-36,0,PLSCR1
107,1.47764092286681e-28,0.800897745371278,0.434,0.158,2.54095133096177e-24,0,CYBB
108,2.37162534746154e-28,0.784861169388253,0.518,0.23,4.07824694749486e-24,0,DUSP4
25,1.84767149393007e-45,0.782436621931923,0.971,0.858,3.17725590096215e-41,0,CNN2
85,3.64241630068701e-31,0.776355436956758,0.559,0.256,6.26349907066139e-27,0,CNTN1
91,1.02924872136083e-30,0.774732244024582,0.683,0.419,1.76989610125207e-26,0,GNG10
44,4.15291475681388e-39,0.769088538666924,0.812,0.585,7.14135221581714e-35,0,TES
88,7.48316511321862e-31,0.765103295895898,0.851,0.625,1.28680507286907e-26,0,KCTD12
87,5.3719437503088e-31,0.764658610080643,0.817,0.532,9.23759447303101e-27,0,PLEK
80,2.01515028299087e-32,0.753548480247723,0.446,0.157,3.4652524266311e-28,0,GPR25
57,5.11270303997689e-37,0.743806089820093,0.799,0.621,8.79180414754426e-33,0,TMEM14C
169,1.57165930574125e-22,0.739970406821485,0.376,0.147,2.70262534215266e-18,0,IL1R2
42,1.86012084290225e-39,0.738723876061216,0.93,0.778,3.19866380145471e-35,0,CORO1A
158,2.37371452123979e-23,0.734054328322279,0.405,0.219,4.08183949072394e-19,0,HSPA4L
114,1.35090674379295e-27,0.727214482846037,0.326,0.093,2.32301923662636e-23,0,SCN3A
227,2.14513813436808e-18,0.720056267415128,0.552,0.349,3.68877953585935e-14,0,CD24A
120,7.20804285701584e-27,0.717955738553357,0.676,0.412,1.23949504969244e-22,0,CCR6
22,1.30971361396454e-47,0.714813848266138,0.998,0.906,2.25218353057343e-43,0,TMEM176B
109,3.5785484922206e-28,0.706447263291626,0.559,0.365,6.15367198722254e-24,0,UCHL3
245,8.59798222238778e-18,0.706241932480864,0.364,0.159,1.4785090229618e-13,0,MS4A6C
129,4.24822338312049e-26,0.7015726582864,0.636,0.407,7.30524492961399e-22,0,RBM38
138,6.22217187190609e-25,0.701225895311868,0.857,0.632,1.06996467509297e-20,0,CCND1
115,1.77180404496398e-27,0.699751815597385,0.683,0.433,3.04679423572006e-23,0,GRAP
72,1.05522293058577e-33,0.699427352868828,0.826,0.69,1.81456135143528e-29,0,MDH2
149,4.06184812331355e-24,0.697257133151041,0.652,0.432,6.98475403284998e-20,0,PEPD
130,1.04353079968079e-25,0.697220732358409,0.516,0.245,1.79445556313109e-21,0,GRIA3
117,3.60988833751189e-27,0.693622743128162,0.468,0.195,6.20756398518545e-23,0,PHGDH
55,3.75239973324642e-37,0.686228721264903,0.95,0.831,6.45262658129054e-33,0,S100A4
254,2.31031402433299e-17,0.683983070611306,0.443,0.237,3.97281599624301e-13,0,RASGEF1B
96,7.70989390988176e-30,0.680518081216483,0.706,0.508,1.32579335674327e-25,0,OSTC
83,9.7808953011306e-32,0.673085428472318,0.88,0.706,1.68192275598242e-27,0,H2-DMA
136,5.40353597069952e-25,0.671893614089922,0.493,0.262,9.29192045521489e-21,0,BCAM
147,1.99839294333255e-24,0.670754046931421,0.563,0.302,3.43643650535465e-20,0,SLA
166,1.1101575502835e-22,0.669248852892529,0.656,0.407,1.90902692346751e-18,0,GSN
155,9.76505881047562e-24,0.668804852975868,0.597,0.353,1.67919951304939e-19,0,SIGLECG
