,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,9.59055227761461e-54,1.62455841489059,0.767,0.379,1.64919136965861e-49,0,GAL
2,1.27436398971561e-91,1.55087007173169,0.923,0.514,2.19139631671497e-87,0,ATP1B1
3,3.44657661081607e-71,1.30542056672245,0.835,0.372,5.92673313995931e-67,0,CFP
4,9.37991918637886e-50,1.21390500488991,0.661,0.269,1.61297090328971e-45,0,GJB2
5,5.50349626294129e-35,1.07768102438152,0.602,0.26,9.46381217375385e-31,0,MDK
6,1.22305476324928e-36,1.04611393492094,0.507,0.181,2.10316497088347e-32,0,NRGN
7,1.59570520834902e-48,1.03825330749428,0.876,0.722,2.74397467627697e-44,0,MLF2
8,3.60609720447305e-38,1.01256170956419,0.552,0.235,6.20104475281185e-34,0,ANK
9,2.34656826569778e-37,1.0119659326546,0.692,0.377,4.03515878969389e-33,0,CD37
10,7.88015300777785e-54,0.976661192529346,0.894,0.563,1.35507111121748e-49,0,CAPG
11,5.92147188794919e-59,0.937410420187189,0.982,0.912,1.01825630585174e-54,0,ZFAND6
12,9.08274082653687e-44,0.933991243838303,0.706,0.445,1.56186811253128e-39,0,AKR1B3
13,9.32862379334406e-36,0.924821796423935,0.697,0.362,1.60415014750344e-31,0,KIF21A
14,3.14349682528592e-44,0.870736494303637,0.855,0.525,5.40555714076166e-40,0,SH2D4A
15,2.51992797742531e-44,0.866455684327454,0.971,0.764,4.33326814998056e-40,0,S100A6
16,1.73691774436438e-29,0.85294624921465,0.443,0.158,2.98680375320899e-25,0,TMEM45B
17,1.68290801462038e-37,0.833263412903858,0.814,0.584,2.89392862194121e-33,0,TXNRD1
18,3.045674130616e-37,0.831928205599541,0.414,0.114,5.23734123500728e-33,0,SUSD2
19,1.4083002080219e-37,0.816534307200042,0.869,0.633,2.42171303771446e-33,0,RAB29
20,8.13560417834603e-20,0.815752255401681,0.441,0.232,1.39899849450838e-15,0,TSC22D1
21,4.27773771499535e-25,0.815444441896797,0.462,0.241,7.355997774706e-21,0,HSPA2
22,1.54979599028944e-29,0.814126144087389,0.557,0.316,2.66502918490172e-25,0,ACAA2
23,1.00577905152735e-30,0.808830890682908,0.584,0.285,1.72953765700643e-26,0,CADM1
24,3.0440545942301e-40,0.807076161067627,0.867,0.69,5.23455628023809e-36,0,PLSCR1
25,1.47764092286681e-28,0.800897745371278,0.434,0.158,2.54095133096177e-24,0,CYBB
26,2.37162534746154e-28,0.784861169388253,0.518,0.23,4.07824694749486e-24,0,DUSP4
27,1.84767149393007e-45,0.782436621931923,0.971,0.858,3.17725590096215e-41,0,CNN2
28,3.64241630068701e-31,0.776355436956758,0.559,0.256,6.26349907066139e-27,0,CNTN1
29,1.02924872136083e-30,0.774732244024582,0.683,0.419,1.76989610125207e-26,0,GNG10
30,4.15291475681388e-39,0.769088538666924,0.812,0.585,7.14135221581714e-35,0,TES
31,1.10896582341725e-84,2.94732619017811,0.647,0.125,1.9069776299483e-80,1,CLU
32,5.0464980596978e-60,2.83627571396799,0.474,0.088,8.67795806345633e-56,1,SELENOM
33,3.87153477344619e-91,2.82365727793476,0.699,0.178,6.65749119641807e-87,1,ASPRV1
34,3.03317087524012e-50,2.40229763689794,0.583,0.185,5.21584063706291e-46,1,CCL22
35,2.10086507006526e-91,2.35282271921448,0.726,0.237,3.61264757448421e-87,1,ZMYND15
36,5.25755999660856e-125,2.27338129670894,0.823,0.123,9.04090017016808e-121,1,EPCAM
37,3.21991393589155e-113,2.12785909813124,0.838,0.185,5.53696400415911e-109,1,LAPTM4B
38,3.23598938844653e-107,2.09056929502035,0.944,0.397,5.56460735237265e-103,1,TYROBP
39,7.19203811417332e-62,2.08448831108418,0.846,0.475,1.23674287411324e-57,1,APOL7C
40,3.31979522440826e-90,1.8795867192845,0.861,0.417,5.70871986789245e-86,1,GYG
41,2.94843945941332e-71,1.81550455575442,0.695,0.196,5.07013649440714e-67,1,LAD1
42,2.51567974314388e-66,1.75348173247805,0.842,0.512,4.32596288631022e-62,1,RNASET2A
43,4.53644573767283e-124,1.74857853014582,0.996,0.775,7.80087209050221e-120,1,TSPAN3
44,5.99925868961695e-90,1.73777614110518,0.838,0.304,1.03163252426653e-85,1,LY75
45,2.48163029364082e-87,1.70602969479192,0.955,0.731,4.26741145294475e-83,1,CRIP1
46,4.26390130472627e-61,1.67198919922866,0.684,0.203,7.3322046836073e-57,1,MX1
47,1.09150001082009e-60,1.65571881038637,0.876,0.61,1.87694341860623e-56,1,TSPO
48,3.39151374432046e-96,1.65459660867136,0.951,0.542,5.83204703473346e-92,1,CXCL16
49,3.61081043825174e-85,1.64009793972053,0.891,0.353,6.2091496296177e-81,1,NUDT17
50,4.94419643142934e-138,1.63974655409743,0.996,0.789,8.5020401834859e-134,1,BASP1
51,4.89810740503826e-85,1.58762980081299,0.966,0.602,8.4227854937038e-81,1,BST2
52,2.71214689297748e-18,1.58025232427519,0.278,0.138,4.66380779716407e-14,1,TNNI1
53,3.02002504678286e-136,1.57165941278827,1,0.914,5.1932350704478e-132,1,LAMP1
54,1.5706612904093e-80,1.56774498844124,0.812,0.284,2.70090915498783e-76,1,RHOC
55,9.61900174860615e-94,1.53642841098774,1,1,1.65408354069031e-89,1,MALAT1
56,9.23699840578927e-68,1.52482880021152,0.846,0.362,1.58839424585952e-63,1,IRF8
57,1.8217777584408e-84,1.46916067248107,0.914,0.536,3.13272903341479e-80,1,SOCS2
58,6.05370143805365e-67,1.46098368830247,0.846,0.392,1.04099449928771e-62,1,CREG1
59,2.76996573253932e-15,1.45591829381697,0.271,0.135,4.76323307367462e-11,1,SERPINB1A
60,2.01440665548494e-70,1.45177505895762,0.989,0.752,3.4639736847719e-66,1,CCR7
61,6.504055165878e-13,1.70580599812156,0.272,0.105,1.11843732632438e-08,2,HSPB1
62,3.26929500598514e-21,1.47068388372661,0.553,0.274,5.62187969229205e-17,2,H2-M2
63,1.50836526169937e-43,1.45455574240554,0.659,0.223,2.59378490401823e-39,2,NRN1
64,1.20721682797608e-25,1.41690140177755,0.521,0.22,2.07593005738767e-21,2,PRG3
65,1.52650168068274e-41,1.37688800041343,0.502,0.099,2.62497229010204e-37,2,NCAM1
66,1.22080301822767e-54,1.37222964817017,0.797,0.307,2.09929287014431e-50,2,CDH2
67,3.75220027052288e-26,1.22968442999785,0.502,0.174,6.45228358519115e-22,2,TNFRSF11B
68,3.16666524063294e-48,1.1955439856941,0.866,0.54,5.44539754779241e-44,2,NOSTRIN
69,2.22586035302499e-36,1.17548531175494,0.894,0.623,3.82758946306177e-32,2,PRNP
70,2.35888328797232e-32,1.16140115991871,0.608,0.222,4.0563357019972e-28,2,HAS2
71,4.83644132269676e-10,1.09887404772857,0.406,0.222,8.31674449850935e-06,2,PRG2
72,7.33301075577608e-35,1.07935694989519,0.825,0.564,1.26098452956326e-30,2,CD200
73,1.99232654746441e-40,1.04453009140261,0.963,0.936,3.4260047310198e-36,2,KLF6
74,2.68372925659304e-15,1.02039213334216,0.502,0.332,4.61494082963739e-11,2,FLRT3
75,9.89514107230716e-23,0.992710375860852,0.696,0.42,1.70156845879394e-18,2,TMTC2
76,2.33535290793103e-28,0.98898324884506,0.521,0.162,4.01587286047819e-24,2,NRXN1
77,1.78922639424823e-27,0.978132800931232,0.47,0.186,3.07675370754926e-23,2,GM16685
78,1.08253237179972e-28,0.957644784125734,0.788,0.43,1.8615226665468e-24,2,CD81
79,1.96347895119198e-33,0.946980537831578,0.917,0.667,3.37639840446972e-29,2,GNB4
80,4.11033340127304e-33,0.944451576304923,0.7,0.448,7.06812931682912e-29,2,PNKD
81,2.91244848700363e-22,0.925528593756747,0.502,0.261,5.00824641825144e-18,2,ADGRG6
82,1.30566551074038e-11,0.919644980162213,0.806,0.667,2.24522241226915e-07,2,MFGE8
83,1.44811891090725e-24,0.909564987732232,0.369,0.099,2.49018527919611e-20,2,NRG1
84,1.08832914917801e-27,0.902240365250438,0.834,0.611,1.87149080492651e-23,2,TSPAN13
85,6.76240858795431e-21,0.881672904552402,0.756,0.604,1.16286378078462e-16,2,CDC42EP3
86,1.27641466698968e-23,0.879874162899453,0.465,0.141,2.19492266135545e-19,2,SYT1
87,2.08420068061709e-17,0.877975259620984,0.737,0.561,3.58399149038915e-13,2,KLF4
88,1.8045720938612e-20,0.873341340432192,0.631,0.401,3.10314217260372e-16,2,VCAM1
89,3.93945992813036e-28,0.86973794562758,0.687,0.466,6.77429529241298e-24,2,SYK
90,2.52121215260673e-29,0.855670812886842,0.71,0.526,4.33547641762254e-25,2,MED10
91,8.39249139842776e-104,3.07078764552625,0.8,0.11,1.44317282087364e-99,3,HIST1H2AP
92,7.10283748619989e-102,3.0499587857956,0.742,0.042,1.22140393412693e-97,3,HIST1H1B
93,1.0516931081195e-120,3.046789243478,0.852,0.046,1.8084914687223e-116,3,PCLAF
94,1.99309600622175e-220,3.01007706988009,0.994,0.583,3.42732789229893e-216,3,HMGB2
95,1.16644492852022e-149,3.00910220471046,0.923,0.038,2.00581869908337e-145,3,MKI67
96,2.01654469047235e-101,2.97681981280762,0.697,0.019,3.46765024973624e-97,3,UBE2C
97,2.24217114485559e-153,2.9577682723823,0.961,0.129,3.85563750069367e-149,3,TOP2A
98,8.90644465972862e-97,2.92683473024032,0.787,0.14,1.53155222368693e-92,3,HIST1H2AE
99,1.03540234377639e-211,2.88918688550685,0.987,0.7,1.78047787035788e-207,3,TUBA1B
100,5.12377174123856e-131,2.60488459009287,0.897,0.241,8.81083788623382e-127,3,H2AFX
101,7.97169572117947e-119,2.5810932990869,0.897,0.116,1.37081279621402e-114,3,STMN1
102,8.88987726354052e-48,2.49431355387674,0.523,0.057,1.52870329423843e-43,3,HIST1H1D
103,3.42738241509699e-142,2.41484875158256,0.852,0.014,5.89372680100078e-138,3,BIRC5
104,1.0508418653806e-181,2.37556465003698,0.994,0.848,1.80702767170848e-177,3,TUBB5
105,3.78180693191686e-100,2.2659650920581,0.684,0.017,6.50319520012423e-96,3,RRM2
106,1.8710165763387e-96,2.23300825429556,0.658,0.014,3.21740010467203e-92,3,CENPF
107,1.09298244503011e-47,2.12761031573663,0.723,0.225,1.87949261247378e-43,3,HIST1H1E
108,1.79515206977806e-82,1.91276843300439,0.858,0.196,3.08694349919035e-78,3,LMNB1
109,5.94271730945891e-75,1.90731781613903,0.852,0.287,1.02190966853455e-70,3,TUBB4B
110,3.76865977955853e-103,1.83321218540188,0.755,0.035,6.48058735692885e-99,3,SPC24
111,1.5253721965264e-100,1.82826860234927,0.748,0.034,2.62303002914681e-96,3,NUSAP1
112,1.58094966787686e-51,1.77871783156284,0.374,0.006,2.71860104888105e-47,3,HIST1H2AF
113,1.62115442977211e-121,1.76159499510598,0.774,0.014,2.78773715743613e-117,3,CDK1
114,2.46584740570926e-95,1.7575623526896,0.755,0.05,4.24027119885765e-91,3,CDCA8
115,3.15943761047706e-109,1.73068170295956,0.716,0.012,5.43296891497636e-105,3,CCNA2
116,3.46824056326777e-95,1.71955758156646,0.632,0.011,5.96398647259526e-91,3,KNL1
117,1.20412497135549e-88,1.71582352941365,0.948,0.605,2.07061330074289e-84,3,HMGN2
118,5.56629274684794e-90,1.6950680839304,0.69,0.031,9.57179700747972e-86,3,TPX2
119,5.52297534046112e-61,1.69177438407307,0.529,0.028,9.49730839545694e-57,3,HIST1H2AB
120,1.17916225052165e-14,1.6289220769448,0.445,0.169,2.02768740599702e-10,3,IL1B
121,1.98877121694679e-76,2.73028412350653,0.822,0.099,3.41989098466169e-72,4,FABP1
122,2.50520238943535e-68,2.3359400373379,0.924,0.276,4.30794602887304e-64,4,NCCRP1
123,3.52743354990013e-48,1.95210330318133,0.907,0.269,6.06577473240826e-44,4,2610528A11RIK
124,1.71158258064268e-28,1.93827445940927,0.585,0.131,2.94323740567315e-24,4,S100A3
125,1.12987853228604e-64,1.9382325063712,0.898,0.241,1.94293912411908e-60,4,COL17A1
126,6.16019367461514e-46,1.91516479576102,0.924,0.408,1.05930690428682e-41,4,CLIC3
127,5.23735648426751e-51,1.81244163620443,0.669,0.102,9.00615821034641e-47,4,RBP1
128,8.00392433543611e-44,1.78262378408329,0.915,0.411,1.37635482872159e-39,4,LY9
129,2.45669921621061e-45,1.69032349358594,0.983,0.562,4.22453997219576e-41,4,CD7
130,2.3147069401385e-54,1.64430060951974,0.949,0.344,3.98037005426217e-50,4,MPEG1
131,1.41811390326824e-51,1.56732955846804,0.975,0.76,2.43858866806006e-47,4,MIF
132,1.81752147523411e-49,1.55209707036257,0.873,0.371,3.12540992881257e-45,4,TPD52
133,3.7725324120801e-34,1.54941725389436,0.305,0.006,6.48724673581294e-30,4,BHMT
134,5.67874569604159e-36,1.53652773819657,0.72,0.179,9.76517109891311e-32,4,TDH
135,1.29322440490246e-38,1.46257703852678,0.737,0.198,2.22382868667027e-34,4,PRR29
136,2.48149396304407e-44,1.41073033638159,0.585,0.072,4.26717701885058e-40,4,SEPT4
137,8.65501272287183e-45,1.39422186726281,0.78,0.174,1.48831598782504e-40,4,CLEC4A4
138,2.35200814726811e-36,1.32785660679225,0.941,0.564,4.04451321004224e-32,4,CIB1
139,7.57033690600225e-36,1.30881698759177,0.763,0.272,1.30179513435615e-31,4,RORC
140,7.32946688145705e-17,1.29174764605589,0.788,0.435,1.26037512493535e-12,4,CCRL2
141,3.33963201915644e-37,1.28458093371677,0.932,0.626,5.74283122014142e-33,4,PRDX5
142,1.76053249925009e-39,1.28193697517462,0.873,0.308,3.02741168571045e-35,4,RAMP1
143,3.11647082705104e-44,1.26322245004961,0.627,0.075,5.35908323419697e-40,4,CD247
144,4.47374105147083e-51,1.22521327643765,0.975,0.891,7.69304511210925e-47,4,TMBIM6
