p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.27436398971561e-91,1.55087007173169,0.923,0.514,2.19139631671497e-87,0,ATP1B1
1.03326016957826e-73,-1.29951170383633,0.654,0.903,1.77679418760677e-69,0,PSMB8
3.44657661081607e-71,1.30542056672245,0.835,0.372,5.92673313995931e-67,0,CFP
4.59209995358041e-70,-0.922226003885442,0.986,0.995,7.89657508017687e-66,0,H2-K1
6.66843753544276e-70,-1.70695680035438,0.36,0.743,1.14670451859474e-65,0,CXCL16
3.46848836162133e-67,-2.02203369302571,0.201,0.644,5.96441258664404e-63,0,TYROBP
9.73526571151171e-64,0.817445757059648,0.998,0.996,1.67407629175155e-59,0,TMSB10
9.86177435673935e-62,-1.32952539677374,0.296,0.705,1.6958307183849e-57,0,SELPLG
5.92147188794919e-59,0.937410420187189,0.982,0.912,1.01825630585174e-54,0,ZFAND6
7.88015300777785e-54,0.976661192529346,0.894,0.563,1.35507111121748e-49,0,CAPG
9.59055227761461e-54,1.62455841489059,0.767,0.379,1.64919136965861e-49,0,GAL
6.07050077197467e-53,-1.19508115264658,0.394,0.739,1.04388331274876e-48,0,PSMB9
1.39295013090411e-51,-1.94101056551227,0.495,0.788,2.39531704510271e-47,0,HSPA1A
5.3640491634487e-51,-1.40182267127908,0.79,0.892,9.22401894146639e-47,0,TMEM123
9.37991918637886e-50,1.21390500488991,0.661,0.269,1.61297090328971e-45,0,GJB2
3.81866234733611e-49,0.599790455415796,0.998,0.996,6.56657177247918e-45,0,RPLP2
1.53247171941886e-48,-0.614362107264608,0.989,0.993,2.63523836871268e-44,0,H2-D1
1.53257437185076e-48,-1.52948845313212,0.873,0.944,2.63541488983456e-44,0,CST3
1.59570520834902e-48,1.03825330749428,0.876,0.722,2.74397467627697e-44,0,MLF2
8.5052851552425e-48,-1.23715025137882,0.333,0.69,1.4625688352955e-43,0,SLAMF7
1.01025667676795e-47,-1.43311340004031,0.075,0.422,1.73723738137016e-43,0,LAPTM4B
1.30971361396454e-47,0.714813848266138,0.998,0.906,2.25218353057343e-43,0,TMEM176B
5.86424079584004e-47,-1.0867436926899,0.912,0.939,1.00841484725265e-42,0,LAMP1
3.42990885238694e-46,-0.976347963491681,0.986,0.999,5.89807126256458e-42,0,FTL1
1.84767149393007e-45,0.782436621931923,0.971,0.858,3.17725590096215e-41,0,CNN2
2.99597731284204e-45,-1.44850872044559,0.473,0.766,5.15188258716317e-41,0,BST2
3.42269448906092e-45,-1.72471936306551,0.317,0.7,5.88566544338915e-41,0,HSPA1B
3.50727154719605e-45,-1.32500966576106,0.722,0.863,6.03110415255832e-41,0,TSPAN3
3.69590068015719e-45,-2.15612028320934,0.362,0.634,6.3554708095983e-41,0,APOL7C
2.51992797742531e-44,0.866455684327454,0.971,0.764,4.33326814998056e-40,0,S100A6
3.14349682528592e-44,0.870736494303637,0.855,0.525,5.40555714076166e-40,0,SH2D4A
6.40450603927774e-44,-1.70062016012474,0.317,0.679,1.1013188585142e-39,0,ATF3
9.08274082653687e-44,0.933991243838303,0.706,0.445,1.56186811253128e-39,0,AKR1B3
