,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
UBA52,4.75574482289849e-236,-2.701401770256,0.604,1,8.17797879745625e-232,UBA52
RPS9,5.00206169906793e-228,-2.44410709332451,0.694,1,8.60154529771721e-224,RPS9
TPT1,6.63654582181178e-225,-2.68015958331076,0.627,0.999,1.14122041951875e-220,TPT1
RPL13,4.14118901186829e-219,-2.78481929222247,0.545,0.999,7.12118862480872e-215,RPL13
RPS5,3.80789611251712e-217,-2.99466438223581,0.463,0.996,6.54805815508444e-213,RPS5
FAU,1.68301311224292e-210,-2.34961407499369,0.709,0.999,2.89410934781292e-206,FAU
EEF1A1,3.69815076763762e-210,-1.90565511971256,0.851,1,6.35934006002965e-206,EEF1A1
RPS24,2.1277031460786e-208,-2.69239408270188,0.545,1,3.65879832999676e-204,RPS24
RPLP0,1.34700353242672e-204,-2.59944676518605,0.56,0.999,2.31630727436098e-200,RPLP0
RPS19,7.98039389776203e-195,-2.5120429503578,0.597,1,1.37230853465916e-190,RPS19
RPSA,8.34128711704855e-193,-2.25695383550503,0.709,0.999,1.43436773264767e-188,RPSA
RPL19,3.3571472111735e-192,-2.27656909762917,0.604,0.997,5.77295034433394e-188,RPL19
RPS11,8.97469015367723e-190,-2.72964711946327,0.485,0.999,1.54328771882634e-185,RPS11
RPS20,6.33759424543973e-181,-2.53292179217666,0.552,0.998,1.08981270644582e-176,RPS20
RPS16,1.09427178974801e-176,-2.55258445349507,0.515,0.996,1.88170976965068e-172,RPS16
RPL23,3.82824098382487e-175,-2.51065381033535,0.515,0.997,6.58304319578525e-171,RPL23
RPS7,4.5521489806265e-170,-2.65650553322452,0.463,0.997,7.82787538708533e-166,RPS7
RPS4X,2.23739805705958e-166,-2.43279649768021,0.515,0.999,3.84742969891965e-162,RPS4X
MT-CO1,3.40232597672431e-166,1.84000109204533,0.985,0.994,5.85063974957512e-162,MT-CO1
RPS10,2.54404448788112e-162,-2.52566899402198,0.433,0.998,4.37473890136038e-158,RPS10
RPS15A,3.4314022662859e-159,-2.55732220962258,0.448,0.993,5.90063933710524e-155,RPS15A
RPS27A,1.2791067956528e-154,-2.73077998333643,0.373,0.994,2.19955204580456e-150,RPS27A
RPS3A1,8.11766564124086e-154,-2.39165368371786,0.515,0.995,1.39591378366778e-149,RPS3A1
RPS8,4.96833065658246e-152,-2.45055003224866,0.545,0.997,8.5435413970592e-148,RPS8
MT-ATP8,1.01397815112713e-151,1.94247232670243,0.993,0.988,1.74363682867822e-147,MT-ATP8
PPIA,2.10341834922903e-151,-2.22126823193287,0.649,0.998,3.61703819333424e-147,PPIA
RPL32,1.47553530528924e-149,-2.5700109390346,0.425,0.995,2.53733051097538e-145,RPL32
RPS14,3.63691283805802e-146,-2.56850377646847,0.396,0.997,6.25403531632458e-142,RPS14
MT-CO2,6.2082197631022e-145,1.75312077093648,0.993,0.989,1.06756547046305e-140,MT-CO2
GM10076,1.9333546456751e-142,-2.51685846158143,0.381,0.994,3.3245966487029e-138,GM10076
RPL11,2.58025969616589e-142,-2.28090011444104,0.5,0.993,4.43701457352686e-138,RPL11
