"","Symbol","vst.mean","vst.variance","vst.variance.expected","vst.variance.standardized","vst.variable","symbol.unique","prev.names"
"MRPL15","Mrpl15",0.0530310497782159,0.059687430522409,0.0664169909079908,0.898677126235596,FALSE,"Mrpl15","ENSMUSG00000033845"
"LYPLA1","Lypla1",0.127156234598324,0.169752411018155,0.176000460727367,0.964499810492591,FALSE,"Lypla1","ENSMUSG00000025903"
"TCEA1","Tcea1",0.279842286840808,0.341337514556282,0.450762059249965,0.757245441473585,FALSE,"Tcea1","ENSMUSG00000033813"
"ATP6V1H","Atp6v1h",0.405027106949236,0.584261003306944,0.708773021465437,0.824327373661778,FALSE,"Atp6v1h","ENSMUSG00000033793"
"RB1CC1","Rb1cc1",0.919073435189749,1.38905355779677,2.05008361613427,0.677559464826145,FALSE,"Rb1cc1","ENSMUSG00000025907"
"4732440D04RIK","4732440D04Rik",0.016362740266141,0.0184625182487993,0.0202605595880419,0.91125411263054,FALSE,"4732440D04Rik","ENSMUSG00000090031"
"PCMTD1","Pcmtd1",0.56914736323312,0.945755434216461,1.09135117215235,0.866591302917918,FALSE,"Pcmtd1","ENSMUSG00000051285"
"GM26901","Gm26901",0.0019714144898965,0.00216488285786692,0.00222809037298745,0.971631529902544,FALSE,"Gm26901","ENSMUSG00000097797"
"SNTG1","Sntg1",0.00453425332676195,0.00688006943483527,0.00540351576669439,1.27325795498588,TRUE,"Sntg1","ENSMUSG00000025909"
"RRS1","Rrs1",0.00995564317397733,0.00985750000388686,0.0121619808866285,0.810517636540996,FALSE,"Rrs1","ENSMUSG00000061024"
"ADHFE1","Adhfe1",0.0019714144898965,0.00196772197458617,0.00222809037298745,0.883142801765183,FALSE,"Adhfe1","ENSMUSG00000025911"
"MYBL1","Mybl1",0.0059142434696895,0.00962590155676446,0.00713754217943245,1.34862972642074,TRUE,"Mybl1","ENSMUSG00000025912"
"VCPIP1","Vcpip1",0.330014785608674,0.410598432352352,0.550123827782784,0.746374564445292,FALSE,"Vcpip1","ENSMUSG00000045210"
"1700034P13RIK","1700034P13Rik",0.00285855101034993,0.00304782157144123,0.00330650694970398,0.921764755919866,FALSE,"1700034P13Rik","ENSMUSG00000097893"
"SGK3","Sgk3",0.227304090685067,0.41638769389592,0.351185777587422,1.18566217788324,TRUE,"Sgk3","ENSMUSG00000025915"
"MCMDC2","Mcmdc2",0.00285855101034993,0.00324498245472199,0.00330650694970398,0.981392903170065,FALSE,"Mcmdc2","ENSMUSG00000046101"
"SNHG6","Snhg6",0.043962543124692,0.0471601642119865,0.0546327802045372,0.863221019238371,FALSE,"Snhg6","ENSMUSG00000098234"
"COPS5","Cops5",0.12094627895515,0.145366612354302,0.165992773867692,0.875740605854144,FALSE,"Cops5","ENSMUSG00000025917"
"CSPP1","Cspp1",0.312863479546575,0.52060048461347,0.515646484342763,1.00960735779484,TRUE,"Cspp1","ENSMUSG00000056763"
"ARFGEF1","Arfgef1",1.06811237062592,1.78213075235577,2.51520216035087,0.708543742705445,FALSE,"Arfgef1","ENSMUSG00000067851"
"PREX2","Prex2",0.00128141941843273,0.00127990354372638,0.0014147155933766,0.904707313412402,FALSE,"Prex2","ENSMUSG00000048960"
"SULF1","Sulf1",0.00226712666338098,0.00245937067101165,0.00258356166990391,0.951930313745182,FALSE,"Sulf1","ENSMUSG00000016918"
"SLCO5A1","Slco5a1",0.366190241498275,1.72856893265319,0.624985910944283,2.7657726396448,TRUE,"Slco5a1","ENSMUSG00000025938"
"NCOA2","Ncoa2",1.83459832429768,4.71435883164122,5.39426785475707,0.873957126078582,FALSE,"Ncoa2","ENSMUSG00000005886"
"TRAM1","Tram1",0.443863972400197,0.547346266983626,0.795194069082524,0.688317843737358,FALSE,"Tram1","ENSMUSG00000025935"
"LACTB2","Lactb2",0.100246426811237,0.128455183747335,0.133865543906105,0.959583623978963,FALSE,"Lactb2","ENSMUSG00000025937"
"EYA1","Eya1",0.366781665845244,1.76303286882786,0.62623659693153,2.81528239880342,TRUE,"Eya1","ENSMUSG00000025932"
"MSC","Msc",0.000295712173484475,0.000295653870611154,0.0003007916145108,0.982919258211364,FALSE,"Msc","ENSMUSG00000025930"
"TERF1","Terf1",0.15751601774273,0.217694144681306,0.226542170681214,0.960943139313512,FALSE,"Terf1","ENSMUSG00000025925"
"RPL7","Rpl7",0.947658945293248,1.30867575906454,2.13664902740436,0.612489811045043,FALSE,"Rpl7","ENSMUSG00000043716"
"RDH10","Rdh10",0.021981271562346,0.0262320757533121,0.027270805379535,0.961910562898059,FALSE,"Rdh10","ENSMUSG00000025921"
"STAU2","Stau2",0.0499753573188763,0.0786339209226472,0.0624037782329065,1.26008269289665,TRUE,"Stau2","ENSMUSG00000025920"
