,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,2.06408512016265,0.702,0.172,0,0,St18
2,0,1.68492040722327,1,0.655,0,0,Tmcc3
3,0,1.66531363620948,0.936,0.293,0,0,Slc7a11
4,0,1.59457482083384,0.456,0.122,0,0,Atf7ip2
5,0,1.56480036212763,0.998,0.676,0,0,N4bp2l1
6,0,1.51451384025511,0.995,0.529,0,0,Slco5a1
7,0,1.50034685864765,0.954,0.431,0,0,Gm12159
8,0,1.42898992053622,1,0.62,0,0,Fmnl2
9,0,1.41245770811743,0.973,0.49,0,0,Gm12216
10,0,1.39650318994026,0.995,0.543,0,0,Pakap.1
11,0,1.39331720799431,0.997,0.597,0,0,Mxd1
12,0,1.37114657211537,0.998,0.837,0,0,Ncoa2
13,0,1.349196382082,0.997,0.679,0,0,Pcgf5
14,0,1.33431360788253,0.98,0.656,0,0,Phlpp1
15,0,1.3089013314373,0.825,0.278,0,0,Gm26535
16,0,1.30295917076567,0.999,0.773,0,0,Rel
17,0,1.29312340598314,0.983,0.626,0,0,Gm15987
18,0,1.28067698742619,0.999,0.667,0,0,Etv3
19,0,1.27823335577531,0.922,0.396,0,0,Cd1d1
20,0,1.27810865457653,1,0.83,0,0,Rabgap1l
21,0,1.25385810048871,0.794,0.286,0,0,9530059O14Rik
22,0,1.24111092518548,0.999,0.774,0,0,Bmp2k
23,0,1.22797950597237,1,0.768,0,0,Fam49a
24,0,1.22433263906443,1,0.799,0,0,Samsn1
25,0,1.18239459908047,0.961,0.601,0,0,Csf2rb
26,0,1.17567689675935,0.988,0.733,0,0,Enox2
27,0,1.17015939698594,0.888,0.447,0,0,D130040H23Rik
28,0,1.16259864207135,0.939,0.517,0,0,Gm36975
29,0,1.15836273934066,0.585,0.232,0,0,Slc44a5
30,0,1.15794395329528,0.998,0.755,0,0,Dpp4
31,0,1.14785297380436,0.95,0.611,0,0,Rgs1
32,0,1.14581348230107,0.997,0.712,0,0,Birc2
33,0,1.1430183138865,1,0.745,0,0,Lrrk1
34,0,1.14003220295,0.812,0.456,0,0,Gpd2
35,0,1.13029896322386,0.917,0.497,0,0,Ero1lb
36,0,1.12131770693708,0.923,0.459,0,0,Dusp5
37,0,1.11857175804616,0.897,0.429,0,0,Sema6d
38,0,1.08138252193075,0.998,0.814,0,0,Nfat5
39,0,1.07514526081229,0.999,0.806,0,0,Tmem123
40,0,1.06902514519874,0.935,0.507,0,0,Spire1
41,0,1.05245682692818,0.897,0.437,0,0,Adam19
42,0,1.05074537083444,0.796,0.364,0,0,Clec2g
43,0,1.04938014044594,0.893,0.451,0,0,Gpr137b
44,0,1.044707788239,0.663,0.301,0,0,Hecw2
45,0,1.0429992134699,0.846,0.407,0,0,Traf5
46,0,1.03209349855323,0.974,0.763,0,0,St8sia4
47,0,1.0319337588487,0.953,0.592,0,0,Pmaip1
48,0,1.03126499023484,0.998,0.781,0,0,Plxnc1
49,0,1.02784249632876,0.865,0.408,0,0,Usp18
50,0,1.02220934348547,0.767,0.338,0,0,Vopp1
