,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,2.06408512016265,0.702,0.172,0,0,St18
2,0,1.68492040722327,1,0.655,0,0,Tmcc3
3,0,1.66531363620948,0.936,0.293,0,0,Slc7a11
4,0,1.59457482083384,0.456,0.122,0,0,Atf7ip2
5,0,1.56480036212763,0.998,0.676,0,0,N4bp2l1
6,0,1.51451384025511,0.995,0.529,0,0,Slco5a1
7,0,1.50034685864765,0.954,0.431,0,0,Gm12159
8,0,1.42898992053622,1,0.62,0,0,Fmnl2
9,0,1.41245770811743,0.973,0.49,0,0,Gm12216
10,0,1.39650318994026,0.995,0.543,0,0,Pakap.1
11,0,1.39331720799431,0.997,0.597,0,0,Mxd1
12,0,1.37114657211537,0.998,0.837,0,0,Ncoa2
13,0,1.349196382082,0.997,0.679,0,0,Pcgf5
14,0,1.33431360788253,0.98,0.656,0,0,Phlpp1
15,0,1.3089013314373,0.825,0.278,0,0,Gm26535
16,0,1.30295917076567,0.999,0.773,0,0,Rel
17,0,1.29312340598314,0.983,0.626,0,0,Gm15987
18,0,1.28067698742619,0.999,0.667,0,0,Etv3
19,0,1.27823335577531,0.922,0.396,0,0,Cd1d1
20,0,1.27810865457653,1,0.83,0,0,Rabgap1l
21,0,1.25385810048871,0.794,0.286,0,0,9530059O14Rik
22,0,1.24111092518548,0.999,0.774,0,0,Bmp2k
23,0,1.22797950597237,1,0.768,0,0,Fam49a
24,0,1.22433263906443,1,0.799,0,0,Samsn1
25,0,1.18239459908047,0.961,0.601,0,0,Csf2rb
26,0,1.17567689675935,0.988,0.733,0,0,Enox2
27,0,1.17015939698594,0.888,0.447,0,0,D130040H23Rik
28,0,1.16259864207135,0.939,0.517,0,0,Gm36975
29,0,1.15836273934066,0.585,0.232,0,0,Slc44a5
30,0,1.15794395329528,0.998,0.755,0,0,Dpp4
31,0,3.80981619701395,0.622,0.053,0,1,Lingo2
32,0,3.69321389064428,0.964,0.09,0,1,Cntn1
33,0,3.14652820932611,0.732,0.063,0,1,Mapk10
34,0,3.09198729258076,0.968,0.128,0,1,Clnk
35,0,3.06031179305034,0.985,0.111,0,1,Il18r1
36,0,2.97847205117997,0.968,0.161,0,1,Bcl2
37,0,2.93042665158322,0.948,0.104,0,1,Tox
38,0,2.83313421892853,0.873,0.096,0,1,Il23r
39,0,2.81737980001418,0.934,0.19,0,1,Odc1
40,0,2.78657047547678,0.974,0.236,0,1,S100a10
41,0,2.69911124134652,0.968,0.245,0,1,Plcb4
42,0,2.69570066573468,0.999,0.587,0,1,Il7r
43,0,2.68562234436186,0.996,0.396,0,1,Ltb
44,0,2.65012976948344,0.933,0.192,0,1,Rora
45,0,2.54289324797852,0.986,0.369,0,1,St6galnac3
46,0,2.53023547993422,0.957,0.099,0,1,Klrb1b
47,0,2.47032071308708,0.943,0.448,0,1,Lmo4
48,0,2.38109702511261,0.85,0.082,0,1,Nrgn
49,0,2.35497287829994,0.987,0.373,0,1,Shisa5
50,0,2.35312232476722,0.971,0.288,0,1,Emb
